month,MPTC_open,MPTC_comp,MNPC_open,MNPC_comp,MPLA_open,MPLA_comp,MOT_open,MOT_comp,MBPM_RR_open,MBPM_RR_comp,MCPS_open,MCPS_comp,MPDC_open,MPDC_comp,TCT_open,TCT_comp,TCT_perc
2019-07-01,52,52,50,50,292,470,175,174,73,87,589,607,66,72,1297,1512,1.165767155
2019-08-01,80,90,33,37,276,273,120,117,137,135,247,368,29,34,922,1054,1.143167028
2019-09-01,53,52,46,47,251,247,119,116,156,155,197,220,35,36,857,873,1.018669778
2019-10-01,50,54,28,27,229,282,93,94,124,130,179,215,26,27,729,829,1.137174211
2019-11-01,40,23,57,57,250,232,79,82,163,176,184,199,18,13,791,782,0.988621997
2019-12-01,55,75,30,32,224,218,47,49,144,157,86,109,20,25,606,665,1.097359736
2020-01-01,50,52,31,34,271,233,82,81,140,151,120,141,11,13,705,705,1
2020-02-01,52,52,34,34,190,206,71,71,108,117,135,154,7,6,597,640,1.072026801
2020-03-01,70,80,47,52,273,310,86,90,195,202,130,171,17,18,818,923,1.128361858
2020-04-01,72,69,27,31,412,474,115,115,256,290,141,168,16,19,1039,1166,1.122232916
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
